indicator_id,project_name,task_name,indicator_name,year,actual_value,target_value,achievement_rate,value_source,source_sheet,source_excel_row
ind_409ed4a36a,2. 공동연구센터,AI첨단제조,14. 미래전략산업 학생연구원(학부) 참여자 수,2025,9,1,,EXCEL_2026_AH_COLUMN,2026,267
ind_37112e96d7,2. 공동연구센터,AI첨단제조,15. 미래전략산업 학생연구원(석사) 참여자 수,2025,6,0,,EXCEL_2026_AH_COLUMN,2026,268
ind_e2caef8896,2. 공동연구센터,AI첨단제조,16. 미래전략산업 학생연구원(박사) 참여자 수,2025,3,0,,EXCEL_2026_AH_COLUMN,2026,269
ind_7c5d312566,2. 공동연구센터,AI모빌리티,2. 2. 2. 공동연구센터 특화 프로그램 운영 수,2025,8,0,,EXCEL_2026_AH_COLUMN,2026,271
ind_e2f1df45b4,2. 공동연구센터,AI모빌리티,기업지원 활동 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,272
ind_41fe7d6e42,2. 공동연구센터,AI모빌리티,타 센터 및 기관과의 협업 활동 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,273
ind_fbabb7187d,2. 공동연구센터,AI모빌리티,02. 공용장비 확산 지수,2025,2,0,,EXCEL_2026_AH_COLUMN,2026,274
ind_afa43a8a15,2. 공동연구센터,AI모빌리티,공동활용 연구장비 활용 기업 수,2025,4,3,,EXCEL_2026_AH_COLUMN,2026,275
ind_117dd44673,2. 공동연구센터,AI모빌리티,공동활용 연구장비 관련 교육 이수자 수,2025,47000,0,,EXCEL_2026_AH_COLUMN,2026,277
ind_e1865f78cb,2. 공동연구센터,AI모빌리티,03. 지산학연 협력 협의체 운영 지수,2025,5,0,,EXCEL_2026_AH_COLUMN,2026,278
ind_611c20380f,2. 공동연구센터,AI모빌리티,지산학연 관련 협의체 개최 건수,2025,5,,,EXCEL_2026_AH_COLUMN,2026,279
ind_bc5f187296,2. 공동연구센터,첨단바이오,01. 애로기술지도 건수,2025,3,2,,EXCEL_2026_AH_COLUMN,2026,281
ind_33756a47fc,2. 공동연구센터,첨단바이오,02. 시제품제작지원 건수,2025,2,3,,EXCEL_2026_AH_COLUMN,2026,282
ind_1bce423f44,2. 공동연구센터,이차전지,02. 시제품제작지원 건수,2025,11,5,,EXCEL_2026_AH_COLUMN,2026,284
ind_926222d498,2. 공동연구센터,반도체,01. 애로기술지도 건수,2025,8,3,,EXCEL_2026_AH_COLUMN,2026,285
ind_2863691797,2. 공동연구센터,반도체,02. 시제품제작지원 건수,2025,5,0,,EXCEL_2026_AH_COLUMN,2026,286
